Product,Series,Price,GPU_Model
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5060 8G SHADOW 2X OC - 8GB GDDR7,RTX,11200,RTX 5060
VGA (การ์ดแสดงผล) POWERCOLOR FIGHTER AMD RADEON RX 6500 XT 4GB GDDR6 V3 (AXRX 6500XT 4GBD6-DHV3),RX,4890,RX 6500
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5060 1-CLICK OC V2 - 8GB GDDR7,RTX,11800,RTX 5060
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5050 8G SHADOW 2X OC - 8GB GDDR6,RTX,9150,RTX 5050
VGA (การ์ดแสดงผล) PNY GEFORCE RTX 5060 DUAL FAN - 8GB GDDR7,RTX,10600,RTX 5060
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 3050 6GB EX (DVI) - 6GB GDDR6,RTX,6990,RTX 3050
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5070 12G SHADOW 2X OC - 12GB GDDR7,RTX,22700,RTX 5070
VGA (การ์ดแสดงผล) POWERCOLOR REAPER AMD RADEON RX 9060 XT 8GB GDDR6,RX,11490,RX 9060
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5050 1-CLICK OC V2 - 8GB GDDR6,RTX,9990,RTX 5050
VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 3050 OC EDITION 6GB GDDR6 (DUAL-RTX3050-O6G),RTX,7800,RTX 3050
VGA (การ์ดแสดงผล) SPARKLE INTEL ARC B570 GUARDIAN OC - 10GB GDDR6,Other,7990,
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5070 12G VENTUS 2X OC - 12GB GDDR7,RTX,22900,RTX 5070
VGA (การ์ดแสดงผล) ASUS DUAL RADEON RX 7600 EVO OC EDITION 8GB GDDR6,RX,11900,RX 7600
VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 5060 8GB GDDR7 OC EDITION,RTX,12900,RTX 5060
VGA (การ์ดแสดงผล) ZOTAC GAMING GEFORCE RTX 5050 TWIN EDGE OC - 8GB GDDR6 (ZT-B50500H-10M),RTX,8990,RTX 5050
VGA (การ์ดแสดงผล) MSI GT 710 2GB 2GD3H-LP,Other,1660,
VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 4060 V2 OC EDITION 8GB GDDR6 (DUAL-RTX4060-O8G-V2),RTX,9390,RTX 4060
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5060 EX WHITE - 8GB GDDR7,RTX,12500,RTX 5060
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5060 EX - 8GB GDDR7,RTX,12400,RTX 5060
VGA (การ์ดแสดงผล) ASROCK AMD RADEON RX 9060 XT CHALLENGER 16GB OC - 16GB GDDR6 (RX9060XT CL 16GO),RX,13500,RX 9060
VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 5060 TWIN X2 OC WHITE - 8GB GDDR7 (N50602-08D7X-195070W),RTX,11100,RTX 5060
VGA (การ์ดแสดงผล) LEADTEK NVIDIA RTX A400 - 4GB GDDR6,RTX,5890,
VGA (การ์ดแสดงผล) ASUS PRIME RADEON RX 9070 XT OC EDITION 16GB GDDR6 (PRIME-RX9070XT-O16G),RX,28500,RX 9070
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5060 8G VENTUS 2X OC - 8GB GDDR7,RTX,11800,RTX 5060
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5060 TI 1-CLICK OC CLASSIC - 8GB GDDR7,RTX,15800,RTX 5060
VGA (การ์ดแสดงผล) GIGABYTE RADEON RX 7700 XT GAMING OC 12G - 12GB GDDR6 (GV-R77XTGAMING OC-12GD),RX,16600,RX 7700
VGA (การ์ดแสดงผล) MSI NVIDIA GEFORCE GT 730 - 4GB DDR3 (N730-4GD3V2),Other,2050,
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 3050 VENTUS 2X E 6G OC - 6GB GDDR6,RTX,6590,RTX 3050
VGA (การ์ดแสดงผล) ASUS DUAL RADEON RX 7800 XT OC EDITION 16GB GDDR6 (DUAL-RX7800XT-O16G),RX,17900,RX 7800
VGA (การ์ดแสดงผล) ASROCK AMD RADEON RX 9070 XT STEEL LEGEND 16GB - 16GB GDDR6 (RX9070XT SL 16G),RX,26500,RX 9070
VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 5070 TWIN X2 OC - 12GB GDDR7 (N50702-12D7X-195064N),RTX,21900,RTX 5070
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5060 TI 16G VENTUS 2X OC PLUS - 16GB GDDR7,RTX,19400,RTX 5060
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5060 TI EX - 8GB GDDR7,RTX,15900,RTX 5060
VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 5070 12GB GDDR7 OC EDITION,RTX,25500,RTX 5070
VGA (การ์ดแสดงผล) PNY GEFORCE RTX 5060 TI 8GB OVERCLOCKED DUAL FAN - 8GB GDDR7,RTX,13300,RTX 5060
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5050 8G VENTUS 2X OC - 8GB GDDR6,RTX,9390,RTX 5050
VGA (การ์ดแสดงผล) ASROCK AMD RADEON RX 9070 XT CHALLENGER 16GB - 16GB GDDR6 (RX9070XT CL 16G),RX,23900,RX 9070
VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 5060 WHITE OC EDITION 8GB GDDR7,RTX,13900,RTX 5060
VGA (การ์ดแสดงผล) GIGABYTE GT710 2GB DDR3 64 BIT (N710D3-2GL),Other,1990,
VGA (การ์ดแสดงผล) SAPPHIRE PURE AMD RADEON RX 7700 XT 12GB - 12GB GDDR6 (WHITE),RX,16400,RX 7700
VGA (การ์ดแสดงผล) SAPPHIRE NITRO+ AMD RADEON RX 9070 XT GPU - 16GB GDDR6,RX,27900,RX 9070
VGA (การ์ดแสดงผล) SAPPHIRE PULSE AMD RADEON RX 9070 XT GPU - 16GB GDDR6,RX,27400,RX 9070
VGA (การ์ดแสดงผล) GIGABYTE RADEON RX 9070 GAMING OC 16G - 16GB GDDR6 (GV-R9070GAMING OC-16GD),RX,22900,RX 9070
VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 3050 V2 OC EDITION 8GB GDDR6,RTX,8900,RTX 3050
VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 5070 X3 OC - 12GB GDDR7,RTX,23900,RTX 5070
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5060 TI 1-CLICK OC 16GB - 16GB GDDR7,RTX,18900,RTX 5060
VGA (การ์ดแสดงผล) ZOTAC GAMING GEFORCE RTX 5060 TI 16GB TWIN EDGE OC - 16GB GDDR7 (ZT-B50620H-10M),RTX,17400,RTX 5060
VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 5060 TWIN X2 - 8GB GDDR7 (N50602-08D7-195071N),RTX,11900,RTX 5060
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5060 TI EX WHITE - 8GB GDDR7,RTX,15900,RTX 5060
VGA (การ์ดแสดงผล) POWERCOLOR FIGHTER AMD RADEON RX 7600 8GB GDDR6 (RX7600 8G-F/V2),RX,8290,RX 7600
VGA (การ์ดแสดงผล) ZOTAC GAMING GEFORCE RTX 5060 AMP - 8GB GDDR7 (ZT-B50600F-10M),RTX,11200,RTX 5060
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5060 8G VENTUS 2X OC WHITE - 8GB GDDR7,RTX,11500,RTX 5060
VGA (การ์ดแสดงผล) SAPPHIRE PULSE AMD RADEON RX 9060 XT 8GB - 8GB GDDR6,RX,11400,RX 9060
VGA (การ์ดแสดงผล) PALIT GEFORCE RTX 5060 DUAL - 8GB GDDR7,RTX,10600,RTX 5060
VGA (การ์ดแสดงผล) ZOTAC GAMING GEFORCE RTX 5060 TWIN EDGE OC - 8GB GDDR7 (ZT-B50600H-10M),RTX,11900,RTX 5060
VGA (การ์ดแสดงผล) GIGABYTE GEFORCE RTX 5050 GAMING OC 8G (REV. 1.0) - 8GB GDDR6,RTX,9390,RTX 5050
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 3050 6GB EX WHITE (A76D) - 6GB GDDR6 35NRLDHPAZTE,RTX,6990,RTX 3050
VGA (การ์ดแสดงผล) ASUS GT1030 SL 2G BRK,Other,2990,
VGA (การ์ดแสดงผล) GALAX GEFORCE GT 1030 - 2GB GDDR5,Other,2790,
VGA (การ์ดแสดงผล) ASUS GEFORCE GT 730 2GB GDDR5 (GT730-SL-2GD5-BRK),Other,2580,
VGA (การ์ดแสดงผล) LEADTEK NVIDIA T400 4GB - 4GB GDDR6,Other,5590,
VGA (การ์ดแสดงผล) POWERCOLOR FIGHTER AMD RADEON RX 7600 8GB GDDR6,RX,8990,RX 7600
VGA (การ์ดแสดงผล) SPARKLE INTEL ARC A770 ROC LUNA OC EDITION 16GB GDDR6,Other,12500,
VGA (การ์ดแสดงผล) LEADTEK NVIDIA RTX 2000 ADA GENERATION - 16GB GDDR6 WITH ECC,RTX,28900,RTX 2000
VGA (การ์ดแสดงผล) LEADTEK NVIDIA RTX A1000 - 8GB GDDR6,RTX,17400,
VGA (การ์ดแสดงผล) ASUS PRIME GEFORCE RTX 5070 12GB GDDR7 OC EDITION (PRIME-RTX5070-O12G),RTX,26500,RTX 5070
VGA (การ์ดแสดงผล) ASUS TUF GAMING GEFORCE RTX 5070 12GB GDDR7 OC EDITION (TUF-RTX5070-O12G-GAMING),RTX,27900,RTX 5070
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5070 1-CLICK OC - 12GB GDDR7,RTX,24900,RTX 5070
VGA (การ์ดแสดงผล) ASUS PRIME RADEON RX 9070 OC EDITION 16GB GDDR6 (PRIME-RX9070-O16G),RX,22900,RX 9070
VGA (การ์ดแสดงผล) POWERCOLOR HELLHOUND AMD RADEON RX 9070 XT 16GB GDDR6 (RX9070XT 16G-L/OC),RX,25900,RX 9070
VGA (การ์ดแสดงผล) GIGABYTE AORUS RADEON RX 9070 XT ELITE 16G - 16GB GDDR6 (GV-R9070XTAORUS E-16GD),RX,27400,RX 9070
VGA (การ์ดแสดงผล) GIGABYTE RADEON RX 9070 XT GAMING OC 16G - 16GB GDDR6 (GV-R9070XTGAMING OC-16GD),RX,25500,RX 9070
VGA (การ์ดแสดงผล) ASROCK AMD RADEON RX 9070 XT STEEL LEGEND DARK 16GB - 16GB GDDR6,RX,26900,RX 9070
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5060 TI 8G GAMING OC - 8GB GDDR7,RTX,15450,RTX 5060
VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 5060 TI 8GB TWIN X2 OC WHITE - 8GB GDDR7,RTX,14490,RTX 5060
VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 5060 TI 8GB TWIN X2 - 8GB GDDR7,RTX,13990,RTX 5060
VGA (การ์ดแสดงผล) GALAX GEFORCE RTX 5070 EX GAMER 1-CLICK OC - 12GB GDDR7,RTX,24900,RTX 5070
VGA (การ์ดแสดงผล) GIGABYTE GEFORCE RTX 5060 TI EAGLE OC ICE 8G - 8GB GDDR7,RTX,15200,RTX 5060
VGA (การ์ดแสดงผล) GIGABYTE GEFORCE RTX 5060 TI EAGLE OC 8G - 8GB GDDR7,RTX,14900,RTX 5060
VGA (การ์ดแสดงผล) ZOTAC GAMING GEFORCE RTX 5060 TI 8GB TWIN EDGE - 8GB GDDR7 (ZT-B50610E-10M),RTX,14900,RTX 5060
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5060 TI 8G VENTUS 3X OC - 8GB GDDR7,RTX,15200,RTX 5060
VGA (การ์ดแสดงผล) GIGABYTE GEFORCE RTX 5060 EAGLE OC 8G - 8GB GDDR7,RTX,11900,RTX 5060
VGA (การ์ดแสดงผล) GIGABYTE RADEON RX 9060 XT GAMING OC 8G - 8GB GDDR6 (GV-R9060XTGAMING OC-8GD),RX,12500,RX 9060
VGA (การ์ดแสดงผล) POWERCOLOR REAPER AMD RADEON RX 9060 XT 16GB GDDR6,RX,13300,RX 9060
VGA (การ์ดแสดงผล) POWERCOLOR HELLHOUND AMD RADEON RX 9060 XT 8GB GDDR6,RX,12490,RX 9060
VGA (การ์ดแสดงผล) SAPPHIRE PULSE AMD RADEON RX 9060 XT 16GB - 16GB GDDR6,RX,13900,RX 9060
VGA (การ์ดแสดงผล) SAPPHIRE PURE AMD RADEON RX 9060 XT - 16GB GDDR6,RX,14900,RX 9060
VGA (การ์ดแสดงผล) MSI GEFORCE RTX 5060 8G INSPIRE 2X OC - 8GB GDDR7,RTX,12290,RTX 5060
VGA (การ์ดแสดงผล) COLORFUL GEFORCE RTX 5050 BATTLE AX DUO 8GB-V - 8GB GDDR6,RTX,9290,RTX 5050
VGA (การ์ดแสดงผล) ASUS PRIME GEFORCE RTX 5070 WHITE OC EDITION 12GB GDDR7,RTX,27900,RTX 5070
VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 5050 8GB GDDR6 OC EDITION,RTX,10500,RTX 5050
VGA (การ์ดแสดงผล) INNO3D GEFORCE RTX 3050 6GB TWIN X2 V2 - 6GB GDDR6 (N30502-06D6-1880VA60),RTX,6190,RTX 3050
VGA (การ์ดแสดงผล) LEADTEK NVIDIA RTX PRO 2000 BLACKWELL - 16 GB GDDR7 WITH ECC,RTX,31900,
VGA (การ์ดแสดงผล) ASUS DUAL GEFORCE RTX 5060 8GB GDDR7,RTX,11900,RTX 5060
VGA (การ์ดแสดงผล) LEADTEK NVIDIA RTX PRO 5000 BLACKWELL - 48GB GDDR7 WITH ECC,RTX,185000,
VGA (การ์ดแสดงผล) LEADTEK NVIDIA RTX PRO 4500 BLACKWELL - 32GB GDDR7 WITH ECC,RTX,113000,
VGA (การ์ดแสดงผล) SAPPHIRE NITRO+ AMD RADEON RX 7800 XT 16GB - 16GB GDDR6,RX,19990,RX 7800
VGA (การ์ดแสดงผล) POWERCOLOR FIGHTER AMD RADEON RX 7800 XT 16GB GDDR6 (RX 7800 XT 16G-F/OC),RX,14600,RX 7800
VGA (การ์ดแสดงผล) SPARKLE INTEL ARC B580 TITAN OC - 12GB GDDR6,Other,8990,
VGA (การ์ดแสดงผล) GIGABYTE AORUS GEFORCE RTX 5080 XTREME WATERFORCE 16G - 16GB GDDR7 (GV-N5080AORUSX W-16GD),RTX,59900,RTX 5080
